Result,Delay (ms),HTTP requests
365,20426.465995000002,2236
366,20426.529975,2236
367,20426.536828,2236
368,20426.541888,2236
369,20426.546336000003,2236
370,20426.588275000002,2236
371,20426.594096,2236
372,20426.599066000002,2236
373,20426.603544,2236
374,20426.654580000002,2236
375,20426.661082000002,2236
376,20426.665441,2236
377,20426.671252,2236
378,20426.70763,2236
379,20426.712740000003,2236
380,20426.717138,2236
381,20426.722067000002,2236
382,20426.759618,2236
383,20426.765139000003,2236
384,20426.769807,2236
385,20426.775208000003,2236
386,20426.836403,2236
387,20426.841873,2236
388,20426.859306000002,2236
389,20426.864386,2236
390,20426.9146,2236
391,20426.920001000002,2236
392,20426.928096,2236
393,20426.934488000003,2236
394,20426.974543,2236
395,20426.979603,2236
396,20426.984041,2236
397,20426.989011,2236
398,20427.026081,2236
399,20427.031290000003,2236
400,20427.036691,2236
401,20427.041189,2236
402,20427.079812,2236
403,20427.097315000003,2236
404,20427.103076000003,2236
405,20427.108305,2236
406,20427.149633,2236
407,20427.154883000003,2236
408,20427.159853,2236
409,20427.171935000002,2236
410,20427.234093000003,2236
411,20427.272255,2236
412,20427.279979000003,2236
413,20427.284297000002,2236
414,20427.66227,2236
415,20427.670235,2236
416,20427.674483000003,2236
417,20427.679913,2236
418,20603.206415,2236
419,20603.223577,2236
420,20603.23038,2236
421,20603.234868,2236
422,20603.255397,2236
423,20603.260186,2236
424,20603.264194000003,2236
425,20603.269303,2236
426,20603.373740000003,2236
427,20603.379802000003,2236
428,20603.384631,2236
429,20603.389179,2236
430,20603.425137000002,2236
431,20603.430467000002,2236
432,20603.434795,2236
433,20603.438963,2236
434,20603.471264,2236
435,20603.477786000003,2236
436,20603.482105000003,2236
437,20603.486393000003,2236
438,20603.517912000003,2236
439,20603.524725000003,2236
440,20603.538200000003,2236
441,20603.542458,2236
442,20603.576082,2236
443,20603.580670000003,2236
444,20603.584928,2236
445,20603.589226,2236
446,20603.619494000002,2236
447,20603.624032,2236
448,20603.628080000002,2236
449,20603.631947,2236
450,20603.665350000003,2236
451,20603.669828000002,2236
452,20603.674357,2236
453,20603.678284,2236
454,20603.740061,2236
455,20603.746713,2236
456,20603.752304,2236
457,20603.756191,2236
458,20603.862862,2236
459,20603.872631000002,2236
460,20603.876919000002,2236
461,20603.881487000002,2236
462,20603.917185000002,2236
463,20603.922164,2236
464,20603.926793000002,2236
465,20603.931582,2236
466,20603.981967,2236
467,20603.987217,2236
468,20603.991785000002,2236
469,20603.996254,2236
470,20604.030699000003,2236
471,20604.035107,2236
472,20604.039094,2236
473,20604.043162,2236
474,20604.086965000002,2236
475,20604.092986,2236
476,20604.097725,2236
